 date,  open, close, high, low, volume,Y
20201029,238.8,250,253.77,238.49,349627,0
20201030,246.95,244.35,250,243.27,239490,0
20201102,247.07,245.7,251.05,244.5,157337,1
20201103,248.1,250.4,250.4,245.5,165351,1
20201104,250.25,253,253,248.3,129928,0
20201105,255.99,259.41,259.85,254.05,189690,1
20201106,260.05,259.3,261.2,255.05,151165,1
20201109,261,270,270,260.6,206284,1
20201110,270.74,272.8,278.65,267.25,223081,1
20201111,270.7,268.9,279,268.35,227873,0
20201112,268.9,267.65,271.49,265,176232,0
20201113,265,265,267.37,258,188431,0
