OPEN-CLOSE,0PEN-EXCLOSE,HIGH-LOW,CLOSE-LOW,CLOSE-HIGH,Y
0.99,0.19,6.73,3.22,-3.51,1
-0.46,0.68,4.73,2.52,-2.21,1
-1.7,-0.22,5.8,1.8,-4,0
1.88,-0.2,4.76,4.48,-0.28,0
-6.46,0,8.88,1.36,-7.52,0
-2.74,-1.02,9.82,4.08,-5.74,0
-1.32,0,5.94,3,-2.94,0
2,1.06,6.35,2,-4.35,1
-1.45,-1.08,6.84,3.43,-3.41,0
-1.1,1.53,4.5,1.4,-3.1,1
6.6,-0.6,7.08,6.68,-0.4,0
5.49,1.6,7.5,5.49,-2.01,1
0.58,0,4.88,2.45,-2.43,0
1.73,-0.1,8.69,4.93,-3.76,0
-3.56,-2.2,4.92,0.44,-4.48,0
-1.6,3.56,4.54,1.96,-2.58,1
5.02,1.58,7.11,5.81,-1.3,1
9.6,1,10.76,9.61,-1.15,1
1.25,-0.2,7.67,4.45,-3.22,0
-0.9,2.33,7.84,6.94,-0.9,1
4.52,-2.1,11.66,7.3,-4.36,0
-2,1.5,6.7,0,-6.7,1
-1.24,-2.52,6.7,3.14,-3.56,0
-0.2,-1.04,5.98,1.2,-4.78,0
3.24,0.4,7.81,3.45,-4.36,1
-3.78,-4.64,7.73,3.95,-3.78,0
-2.46,-0.87,8.35,1.79,-6.56,0
-5.21,0.25,11.75,4.33,-7.42,1
-1.81,-3.12,4.66,1,-3.66,0
3.2,3,5.8,3.24,-2.56,1
6.43,-1.75,7.7,7.7,0,0
1,1.2,7.26,5.9,-1.36,1
0.33,-0.08,3.4,2.33,-1.07,0
-4.72,0.41,7.19,1.02,-6.17,1
0.59,-3.96,7.1,3.75,-3.35,0
6.87,0,8.7,8.7,0,0
-3.1,-1.52,5.08,0.43,-4.65,0
0.44,-2.44,4.77,0.9,-3.87,0
2.72,-6.3,9.03,6.86,-2.17,0
-1.78,-1.24,5.49,0.42,-5.07,0
0.19,0.71,3.07,0.83,-2.24,1
1.79,1.14,4.85,2.13,-2.72,1
-2.27,1.87,4.03,0.96,-3.07,1
0,1.27,4.9,0.9,-4,1
2.57,4,6.26,4.28,-1.98,1
12.75,1.43,13.01,12.75,-0.26,1
0.52,0,5.76,3.43,-2.33,0
-2.39,-0.48,6.15,1.22,-4.93,0
-0.6,0.11,2.16,0.57,-1.59,1
-2.02,-0.01,5.58,1.64,-3.94,0
-3.82,3.12,7,1.58,-5.42,1
4.98,-0.18,6,5.98,-0.02,0
0.79,0,4.01,2.08,-1.93,0
-0.26,0.23,6.31,5.06,-1.25,1
-4.16,-0.95,5.94,0.33,-5.61,0
2.61,-6.63,11.59,9.61,-1.98,0
0.49,0.4,4.65,2.8,-1.85,1
4.98,1.5,8.58,6.56,-2.02,1
11.2,-1.18,15.28,11.51,-3.77,0
-2.6,-3.05,6.73,1.08,-5.65,0
-1.37,2.72,6.55,1.2,-5.35,1
2.3,2.4,4.9,4.9,0,1
2.75,-0.15,4.7,4.7,0,0
3.42,2.99,5.8,5.36,-0.44,1
-0.75,0.64,6.15,4.25,-1.9,1
9,1.7,9.4,9.4,0,1
2.06,0.74,11.4,5.55,-5.85,1
-1.8,-2.1,10.65,0.55,-10.1,0
-1.25,0,6.49,2.65,-3.84,0
0,-2.65,9.37,7,-2.37,0
